experiment_name,encoder,arch_tag,arch_label,target_layers,predictor_layers,mse_ratio,mse_diff_frac,reward_diff_frac,reward_diff,std_seen,mse_seen,mse_unseen,mse_random,std_unseen,std_random,reward_seen,reward_unseen,reward_random,mse_random_vs_seen_ratio,mse_unseen_vs_random_ratio,reward_random_vs_seen_ratio,reward_unseen_vs_random_ratio
gte_extreme_ultra,gte,extreme_ultra,extreme_ultra (128_64 / 2048_64),"(128, 64)","(2048, 64)",3.493326373882871,2.4933263738828715,0.5408035411536166,0.29523399472236633,1.8339067537453957e-05,0.0006236770423129201,0.002178709954023361,0.0006236770423129201,0.00011192647070856765,1.746468296914827e-05,-0.545917272567749,-0.2506832778453827,-0.545917272567749,1.0,3.493326373882871,1.0,0.4591964568651178
gte_predlarge_mod,gte,predlarge_mod,predlarge_mod (128_64 / 512_64),"(128, 64)","(512, 64)",1.4804460472768712,0.48044604727687135,0.035392856583630616,0.023930788040161133,1.282364519283874e-05,0.0003570943372324109,0.0005286593805067241,0.00035709430812858045,2.2458987587015145e-05,1.3220657820056658e-05,-0.6761474013328552,-0.6522166132926941,-0.6761472821235657,0.9999999184984305,1.4804461679355576,0.9999998236933404,0.9646073133783729
gte_eq_small,gte,eq_small,eq_small (128_8 / 128_8),"(128, 8)","(128, 8)",1.678985407102647,0.6789854071026469,0.5917605613021375,0.24918638169765472,0.0001978324435185641,0.0029388628900051117,0.004934308584779501,0.002938862657174468,0.0004177741939201951,0.00022884635836817324,-0.42109325528144836,-0.17190687358379364,-0.42109325528144836,0.9999999207752885,1.678985540119792,1.0,0.408239435887271
gte_narrow,gte,narrow,narrow (128_8 / 256_8),"(128, 8)","(256, 8)",2.7693868071006773,1.7693868071006769,0.8940169904298274,0.3877066299319267,0.00012134016287745908,0.001588007085956633,0.004397807642817497,0.0015880069695413113,0.0003850058128591627,0.00011869507579831406,-0.4336680769920349,-0.045961447060108185,-0.4336680769920349,0.9999999266909767,2.769387010121734,1.0,0.10598300544712531
gte_predlarge_big,gte,predlarge_big,predlarge_big (256_64 / 1024_64),"(256, 64)","(1024, 64)",1.9330397767280632,0.9330397767280629,0.6648706448250122,0.37469668686389923,6.777446833439171e-05,0.0022739300038665533,0.004395598080009222,0.0022739300038665533,0.00018054162501357496,6.836507236585021e-05,-0.5635632872581482,-0.18886660039424896,-0.5635632872581482,1.0,1.9330397767280632,1.0,0.3351293528154634
gte_eq_medium,gte,eq_medium,eq_medium (256_64 / 256_64),"(256, 64)","(256, 64)",1.1804406723173981,0.18044067231739805,0.2826337315900809,0.1444035768508911,0.00017874906188808382,0.005533203016966581,0.006531618069857359,0.005533203016966581,0.00022507018002215773,0.0001901214855024591,-0.5109212398529053,-0.36651766300201416,-0.5109212398529053,1.0,1.1804406723173981,1.0,0.7173662673035499
gte_deep_pred,gte,deep_pred,deep_pred (256_64 / 512_256_64),"(256, 64)","(512, 256, 64)",1.4634520723351414,0.4634520723351413,0.5915233527399518,0.36075641214847565,0.00011570587957976386,0.0035676804836839437,0.005221129860728979,0.0035676802508533,0.00019160035299137235,0.00011210810771444812,-0.6098768711090088,-0.24912045896053314,-0.6098768711090088,0.9999999347389489,1.4634521678415682,1.0,0.40847664532023586
gte_deep_both,gte,deep_both,deep_both (512_256_64 / 1024_512_64),"(512, 256, 64)","(1024, 512, 64)",2.9640297211486617,1.964029721148662,1.4832001415656832,0.9706467390060425,1.1989141967205796e-05,0.00039734833990223706,0.0011777542531490326,0.0003973483690060675,4.844988870900124e-05,1.2839689588872716e-05,-0.6544273495674133,0.31621938943862915,-0.6544273495674133,1.0000000732449448,2.9640295040484843,1.0,-0.4832001460985016
gte_eq_deep,gte,eq_deep,eq_deep (512_256_64 / 512_256_64),"(512, 256, 64)","(512, 256, 64)",1.5864391591193272,0.5864391591193273,0.8885558218778429,0.5186791643500328,2.6635967515176162e-05,0.0008075377554632723,0.0012811101041734219,0.0008075377554632723,4.7716068365843967e-05,2.56421717494959e-05,-0.5837327837944031,-0.06505361944437027,-0.5837328433990479,1.0,1.5864391591193272,1.0000001021094695,0.1114441636982603
gte_eq_wide,gte,eq_wide,eq_wide (512_64 / 512_64),"(512, 64)","(512, 64)",1.3832544731286298,0.3832544731286297,0.5600154362366986,0.28409914672374725,0.00013771405792795122,0.0044698468409478664,0.006182936020195484,0.004469847306609154,0.00022278664982877672,0.00014367167023010552,-0.507305920124054,-0.2232067734003067,-0.5073059797286987,1.0000001041783309,1.3832543290235026,1.000000117492508,0.43998450986061616
